x	sin(x)	cos(x)	tan(x)
-3.00	-0.1411	-0.9900	0.1425
-2.95	-0.1904	-0.9817	0.1940
-2.90	-0.2392	-0.9710	0.2464
-2.85	-0.2875	-0.9578	0.3001
-2.80	-0.3350	-0.9422	0.3555
-2.75	-0.3817	-0.9243	0.4129
-2.70	-0.4274	-0.9041	0.4727
-2.65	-0.4720	-0.8816	0.5354
-2.60	-0.5155	-0.8569	0.6016
-2.55	-0.5577	-0.8301	0.6719
-2.50	-0.5985	-0.8011	0.7470
-2.45	-0.6378	-0.7702	0.8280
-2.40	-0.6755	-0.7374	0.9160
-2.35	-0.7115	-0.7027	1.0125
-2.30	-0.7457	-0.6663	1.1192
-2.25	-0.7781	-0.6282	1.2386
-2.20	-0.8085	-0.5885	1.3738
-2.15	-0.8369	-0.5474	1.5290
-2.10	-0.8632	-0.5048	1.7098
-2.05	-0.8874	-0.4611	1.9246
-2.00	-0.9093	-0.4161	2.1850
-1.95	-0.9290	-0.3702	2.5095
-1.90	-0.9463	-0.3233	2.9271
-1.85	-0.9613	-0.2756	3.4881
-1.80	-0.9738	-0.2272	4.2863
-1.75	-0.9840	-0.1782	5.5204
-1.70	-0.9917	-0.1288	7.6966
-1.65	-0.9969	-0.0791	12.5993
-1.60	-0.9996	-0.0292	34.2325
-1.55	-0.9998	0.0208	-48.0785
-1.50	-0.9975	0.0707	-14.1014
-1.45	-0.9927	0.1205	-8.2381
-1.40	-0.9854	0.1700	-5.7979
-1.35	-0.9757	0.2190	-4.4552
-1.30	-0.9636	0.2675	-3.6021
-1.25	-0.9490	0.3153	-3.0096
-1.20	-0.9320	0.3624	-2.5722
-1.15	-0.9128	0.4085	-2.2345
-1.10	-0.8912	0.4536	-1.9648
-1.05	-0.8674	0.4976	-1.7433
-1.00	-0.8415	0.5403	-1.5574
-0.95	-0.8134	0.5817	-1.3984
-0.90	-0.7833	0.6216	-1.2602
-0.85	-0.7513	0.6600	-1.1383
-0.80	-0.7174	0.6967	-1.0296
-0.75	-0.6816	0.7317	-0.9316
-0.70	-0.6442	0.7648	-0.8423
-0.65	-0.6052	0.7961	-0.7602
-0.60	-0.5646	0.8253	-0.6841
-0.55	-0.5227	0.8525	-0.6131
-0.50	-0.4794	0.8776	-0.5463
-0.45	-0.4350	0.9004	-0.4831
-0.40	-0.3894	0.9211	-0.4228
-0.35	-0.3429	0.9394	-0.3650
-0.30	-0.2955	0.9553	-0.3093
-0.25	-0.2474	0.9689	-0.2553
-0.20	-0.1987	0.9801	-0.2027
-0.15	-0.1494	0.9888	-0.1511
-0.10	-0.0998	0.9950	-0.1003
-0.05	-0.0500	0.9988	-0.0500
-0.00	-0.0000	1.0000	-0.0000
0.05	0.0500	0.9988	0.0500
0.10	0.0998	0.9950	0.1003
0.15	0.1494	0.9888	0.1511
0.20	0.1987	0.9801	0.2027
0.25	0.2474	0.9689	0.2553
0.30	0.2955	0.9553	0.3093
0.35	0.3429	0.9394	0.3650
0.40	0.3894	0.9211	0.4228
0.45	0.4350	0.9004	0.4831
0.50	0.4794	0.8776	0.5463
0.55	0.5227	0.8525	0.6131
0.60	0.5646	0.8253	0.6841
0.65	0.6052	0.7961	0.7602
0.70	0.6442	0.7648	0.8423
0.75	0.6816	0.7317	0.9316
0.80	0.7174	0.6967	1.0296
0.85	0.7513	0.6600	1.1383
0.90	0.7833	0.6216	1.2602
0.95	0.8134	0.5817	1.3984
1.00	0.8415	0.5403	1.5574
1.05	0.8674	0.4976	1.7433
1.10	0.8912	0.4536	1.9648
1.15	0.9128	0.4085	2.2345
1.20	0.9320	0.3624	2.5722
1.25	0.9490	0.3153	3.0096
1.30	0.9636	0.2675	3.6021
1.35	0.9757	0.2190	4.4552
1.40	0.9854	0.1700	5.7979
1.45	0.9927	0.1205	8.2381
1.50	0.9975	0.0707	14.1014
1.55	0.9998	0.0208	48.0785
1.60	0.9996	-0.0292	-34.2325
1.65	0.9969	-0.0791	-12.5993
1.70	0.9917	-0.1288	-7.6966
1.75	0.9840	-0.1782	-5.5204
1.80	0.9738	-0.2272	-4.2863
1.85	0.9613	-0.2756	-3.4881
1.90	0.9463	-0.3233	-2.9271
1.95	0.9290	-0.3702	-2.5095
2.00	0.9093	-0.4161	-2.1850
2.05	0.8874	-0.4611	-1.9246
2.10	0.8632	-0.5048	-1.7098
2.15	0.8369	-0.5474	-1.5290
2.20	0.8085	-0.5885	-1.3738
2.25	0.7781	-0.6282	-1.2386
2.30	0.7457	-0.6663	-1.1192
2.35	0.7115	-0.7027	-1.0125
2.40	0.6755	-0.7374	-0.9160
2.45	0.6378	-0.7702	-0.8280
2.50	0.5985	-0.8011	-0.7470
2.55	0.5577	-0.8301	-0.6719
2.60	0.5155	-0.8569	-0.6016
2.65	0.4720	-0.8816	-0.5354
2.70	0.4274	-0.9041	-0.4727
2.75	0.3817	-0.9243	-0.4129
2.80	0.3350	-0.9422	-0.3555
2.85	0.2875	-0.9578	-0.3001
2.90	0.2392	-0.9710	-0.2464
2.95	0.1904	-0.9817	-0.1940
3.00	0.1411	-0.9900	-0.1425
